date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:25	52639/52639	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2015:08:27%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboarde1a2.html	(from )
21:17:25	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jun%202020%2018:17:28%20GMT	https://demos.creative-tim.com/robots.txt		(from )
21:17:25	2446/2446	---M--	200	added ('OK')	image/png	etag:%225e3c2bea-98e%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:27	2761/2761	---M--	200	added ('OK')	image/png	etag:%225e3c2beb-ac9%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/img/favicon.png	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jun%202020%2018:17:30%20GMT	http://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.4.delayed	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:28	52639/52639	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2015:08:27%20GMT	https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:28	158770/158770	---M--	200	added ('OK')	image/jpeg	etag:%2273a1b747c9f203ee2b287a4cafa8f0d5%22	https://s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	E:/PC_nou/dashboard_booksmart/now_ui/s3.amazonaws.com/creativetim_bucket/products/72/opt_nudp_thumbnail.jpg	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:28	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.1/css/all.css	E:/PC_nou/dashboard_booksmart/now_ui/use.fontawesome.com/releases/v5.7.1/css/all.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:29	159516/159516	---M-Z	200	added ('OK')	text/css	etag:W/%225e3c2bea-26f1c%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:29	276766/276766	---M-Z	200	added ('OK')	text/css	etag:W/%225e3c2bea-4391e%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/css/now-ui-dashboard.min.css?v=1.5.0	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/assets/css/now-ui-dashboard.minaa26.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
21:17:29	785/785	---M-Z	200	added ('OK')	text/css	etag:W/%225e3c2bea-311%22	https://demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	E:/PC_nou/dashboard_booksmart/now_ui/demos.creative-tim.com/now-ui-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/now-ui-dashboard-pro/examples/dashboard.html?_ga=2.243743045.1550528411.1593365953-428554355.1593365953)
